SIMULACIÓN DE NORMALIZACIÓN (NUEVA TAXONOMÍA + GENERADOR DISPLAY MODEL)
=======================================================================

Esta lista muestra cómo la función `normalizeBikeModel` (con la capitalización avanzada) procesaría los datos actuales de producción.

---------------------------------------------------------------------------------------------------------
| FABRICANTE (Make) | MODELO ORIGINAL (Input)            | MODELO DISPLAY (Listado UI)| MODELO NORMALIZADO (ID) |
---------------------------------------------------------------------------------------------------------
| ""                | "Otro"                             | INVALID                    | INVALID (Basura) |
| 144 Rayos         | "Paloma "                          | Paloma                     | paloma |
| 6ku               | "Urban track"                      | Urban Track                | urbantrack |
| ALTA              | "Bike Share"                       | Share                      | share |
| Alubike           | ""                                 | INVALID                    | INVALID (Vacío) |
| Alubike           | "2.0"                              | 2.0                        | 2.0 |
| Alubike           | "Chromboly"                        | Chromboly                  | chromboly |
| Alubike           | "DS XTA"                           | DS XTA                     | dsxta |
| Alubike           | "Expert"                           | Expert                     | expert |
| Alubike           | "Hardteil"                         | Hardteil                   | hardteil |
| Alubike           | "Kodiak29"                         | Kodiak                     | kodiak |
| Alubike           | "Mazzima "                         | Mazzima                    | mazzima |
| Alubike           | "Mazzima 700C"                     | Mazzima                    | mazzima |
| Alubike           | "Mountain Sport"                   | Sport                      | sport |
| Alubike           | "Revel gravel"                     | Revel                      | revel |
| Alubike           | "Sierra 2026"                      | Sierra                     | sierra |
| Alubike           | "sierra slite 26"                  | Sierra Slite               | sierraslite |
| Alubike           | "XTA 1.0 "                         | XTA 1.0                    | xta1.0 |
| Alubike           | "XTA 3.0 29"                       | XTA 3.0                    | xta3.0 |
| Alubike           | "Xta expert "                      | XTA Expert                 | xtaexpert |
| Alurock           | "Kraken"                           | Kraken                     | kraken |
| Amyet             | "AMYET-EB26"                       | Eb                         | eb |
| Belfort           | "Alom Judy"                        | Alom Judy                  | alomjudy |
| Belfort           | "Balam Gold 35"                    | Balam Gold 35              | balamgold35 |
| Belfort           | "Coalt rabe 2022"                  | Coalt Rabe                 | coaltrabe |
| Belfort           | "COM-B3 "                          | Com-b3                     | com-b3 |
| Benotto           | "Azul"                             | INVALID                    | INVALID (Color solo) |
| Benotto Centurion | "Centurion roma R700"              | Roma                       | roma |
| Benotto           | "3000"                             | 3000                       | 3000 |
| Benotto           | "590 r700"                         | 590                        | 590 |
| Benotto           | "Benotto Hk3 "                     | Hk3                        | hk3 |
| Benotto           | "Blak"                             | INVALID                    | INVALID (Color/Basura) |
| Blackburn         | "Blackburn "                       | INVALID                    | INVALID (Solo marca) |
